timestamp,CruiseControlOnOffSts,SetSwitch,AcceleratorSts,DeceleratorSts,ResumeSwitch,CruiseControlFailSts,CruiseControlValidData,BCMFpsConfirm,CruiseControlDataIntegrity,CrankRequestSts,BrakePedalSwitchNCSts,BrakePedalSwitchNOSts,BCMCmdMsgCounter,BCMFpsFailSts,BCMFpsCommand,TurnIndicatorSts,BrakePedalSwitchNCFailSts,BrakePedalSwitchNOFailSts,SpeedLimiterOnOffSts
1589449616.8141062,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449616.8242476,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449616.8340902,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449616.8442655,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449616.8541021,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449616.8640866,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449616.8740993,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449616.8841586,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449616.8945632,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449616.9045036,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449616.9145663,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449616.9245088,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449616.934574,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449616.9444916,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449616.9544911,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449616.9645755,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449616.9744904,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449616.9844997,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449616.9944923,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449617.004467,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449617.014446,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449617.0244527,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449617.034718,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449617.0441318,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449617.0541112,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449617.0641057,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449617.0741048,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449617.0841298,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449617.0941567,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449617.104193,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449617.114266,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449617.124234,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449617.1342435,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449617.1443424,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449617.1542845,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449617.1642869,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449617.1747417,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449617.1858492,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449617.1943316,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449617.2041984,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449617.214161,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449617.2241352,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449617.2341363,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449617.244195,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449617.2541146,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449617.264097,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
1589449617.2740936,0,0,0,0,0,0,0,0,255,0,1,1,1,0,0,0,0,0,0
1589449617.2840984,0,0,0,0,0,0,0,0,255,0,1,1,2,0,0,0,0,0,0
1589449617.2941873,0,0,0,0,0,0,0,0,255,0,1,1,3,0,0,0,0,0,0
1589449617.3040962,0,0,0,0,0,0,0,0,255,0,1,1,0,0,0,0,0,0,0
